start_price,end_price,width,num_prices,prices,feasible
1.0,1.0,0.0,1,[1.0],False
1.0,2.5,1.5,2,"[1.0, 2.5]",False
1.0,4.0,3.0,3,"[1.0, 2.5, 4.0]",False
1.0,5.5,4.5,4,"[1.0, 2.5, 4.0, 5.5]",False
1.0,7.0,6.0,5,"[1.0, 2.5, 4.0, 5.5, 7.0]",False
1.0,8.5,7.5,6,"[1.0, 2.5, 4.0, 5.5, 7.0, 8.5]",False
1.0,10.0,9.0,7,"[1.0, 2.5, 4.0, 5.5, 7.0, 8.5, 10.0]",False
2.5,2.5,0.0,1,[2.5],False
2.5,4.0,1.5,2,"[2.5, 4.0]",False
2.5,5.5,3.0,3,"[2.5, 4.0, 5.5]",False
2.5,7.0,4.5,4,"[2.5, 4.0, 5.5, 7.0]",False
2.5,8.5,6.0,5,"[2.5, 4.0, 5.5, 7.0, 8.5]",False
2.5,10.0,7.5,6,"[2.5, 4.0, 5.5, 7.0, 8.5, 10.0]",False
4.0,4.0,0.0,1,[4.0],False
4.0,5.5,1.5,2,"[4.0, 5.5]",False
4.0,7.0,3.0,3,"[4.0, 5.5, 7.0]",False
4.0,8.5,4.5,4,"[4.0, 5.5, 7.0, 8.5]",False
4.0,10.0,6.0,5,"[4.0, 5.5, 7.0, 8.5, 10.0]",False
5.5,5.5,0.0,1,[5.5],False
5.5,7.0,1.5,2,"[5.5, 7.0]",False
5.5,8.5,3.0,3,"[5.5, 7.0, 8.5]",False
5.5,10.0,4.5,4,"[5.5, 7.0, 8.5, 10.0]",False
7.0,7.0,0.0,1,[7.0],False
7.0,8.5,1.5,2,"[7.0, 8.5]",False
7.0,10.0,3.0,3,"[7.0, 8.5, 10.0]",False
8.5,8.5,0.0,1,[8.5],False
8.5,10.0,1.5,2,"[8.5, 10.0]",False
10.0,10.0,0.0,1,[10.0],False
